"CareService","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Provided_by_Local_Authority","Date_Reg","CareHome_Main_Area_of_Care","Council_Area_Name","NumberStaff","Registered_Places","Client_group","GradeSpread","MinGrade","MaxGrade","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2122","Complaints_upheld_2223","Complaints_upheld_2324","Enforcements_issued_2122","Enforcements_issued_2223","Enforcements_issued_2324","any_requirements_2122","any_requirements_2223","any_requirements_2324","Last_inspection_Date"
"Support Service","Care at Home","Private","The Deirdre Knight Centre","Forfar","DD8 2BB","Forfar Daycare Centre","No","2002_4",NA,"Angus",11.5,26,"Adults","5 or 6",5,5,"Same","01/06/2018",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/05/2018"
"Support Service","Care at Home","Voluntary or Not for Profit","Kirriemuir Day Care","Kirriemuir","DD8 4DP","Kirriemuir Day Care Limited","No","2002_4",NA,"Angus",7.6,28,"Adults","Mix",4,4,"Same","11/04/2016",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/03/2016"
"Support Service","Other than Care at home","Voluntary or Not for Profit","The Adam Centre","Montrose","DD10 8RX","The Adam Centre","No","2002_4",NA,"Angus",8.5,30,"Adults","5 or 6",5,6,"Same","16/06/2016",5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/03/2016"
"Care Home Service","Children & Young People","Local Authority","Blairvadach Residential Home","Helensburgh","G84 8NN","West Dunbartonshire Council","Yes","2002_4",NA,"Argyll & Bute",12,6,"Children","5 or 6",6,6,"Same","25/09/2022",6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"11/08/2022"
"Care Home Service","Children & Young People","Local Authority","Helensburgh Childrens Unit","Helensburgh","G84 7QR","Argyll and Bute Council","Yes","2002_4",NA,"Argyll & Bute",9.37,8,"Children","1 or 2",2,2,"Same","02/05/2023",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","03/04/2023"
"Care Home Service","Older People","Private","Northwood House Care Home","Helensburgh","G84 9QF","Third Life Care Limited","No","2002_4","Older people - dementia","Argyll & Bute",10.06,20,"Adults","Mix",3,5,"Same","15/09/2022",3,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"25/07/2022"
"Care Home Service","Older People","Private","Palm Court","Isle Of Bute","PA20 0NJ","Mr & Mrs J Young a Partnership","No","2002_4","Older people - frailty","Argyll & Bute",7,8,"Adults","Mix",3,3,"Same","24/11/2020",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/11/2020"
"Care Home Service","Older People","Local Authority","Gortanvogie Residential Home","Isle Of Islay","PA43 7JB","Argyll and Bute Council","Yes","2002_4","Older people - frailty","Argyll & Bute",12.23,16,"Adults","Mix",3,4,"Same","16/11/2022",3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"05/10/2022"
"Support Service","Other than Care at home","Local Authority","Woodlands Centre","Campbeltown","PA28 6JW","Argyll and Bute Council","Yes","2002_4",NA,"Argyll & Bute",5.55,25,"Adults","Mix",4,5,"Same","21/07/2017",5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/05/2017"
"Care Home Service","Children & Young People","Local Authority","Dunclutha","Dunoon","PA23 8GY","Argyll and Bute Council","Yes","2002_4",NA,"Argyll & Bute",10.64,6,"Children","5 or 6",5,5,"Same","28/09/2022",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/08/2022"
"Care Home Service","Older People","Local Authority","Struan Lodge","Dunoon","PA23 8HU","Argyll and Bute Council","Yes","2002_4","Older people - frailty","Argyll & Bute",17.4,12,"Adults","5 or 6",5,5,"Same","24/06/2022",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"16/06/2022"
"Care Home Service","Older People","Local Authority","Thomson Court","Isle Of Bute","PA20 9JH","Argyll and Bute Council","Yes","2002_4","Older people - dementia","Argyll & Bute",11.7,8,"Adults","Mix",4,5,"Same","28/07/2022",4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"05/07/2022"
"Support Service","Other than Care at home","Local Authority","Thomson Court Day Care","Isle Of Bute","PA20 9JH","Argyll and Bute Council","Yes","2002_4",NA,"Argyll & Bute",4.07,12,"Adults","Mix",4,5,"Same","08/11/2017",5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/09/2017"
"Care Home Service","Older People","Local Authority","Eadar Glinn Residential Home","Oban","PA34 4JL","Argyll and Bute Council","Yes","2002_4","Older people - frailty","Argyll & Bute",27.59,25,"Adults","Mix",4,4,"Same","20/12/2021",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"24/11/2021"
"Care Home Service","Children & Young People","Local Authority","Shellach View","Oban","PA34 4SB","Argyll and Bute Council","Yes","2002_4",NA,"Argyll & Bute",NA,6,"Children","Mix",4,4,"Same","03/11/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"07/10/2022"
"Care Home Service","Older People","Local Authority","Tigh-a-Rudha Residential Home","Isle Of Tiree","PA77 6UH","Argyll and Bute Council","Yes","2002_4","Older people - dementia","Argyll & Bute",19.92,12,"Adults","Mix",3,3,"Same","22/10/2021",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"13/10/2021"
"Support Service","Other than Care at home","Local Authority","Lorne Resource Centre","Oban","PA34 4HY","Argyll and Bute Council","Yes","2002_4",NA,"Argyll & Bute",6.9,25,"Adults","Mix",3,4,"Same","29/01/2018",4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08/11/2017"
"Care Home Service","Older People","Local Authority","Janet Brougham House","Dundee","DD4 7BS","Dundee City Council","Yes","2002_4","Older people - dementia","Dundee City",23.8,24,"Adults","Mix",4,6,"Same","10/08/2022",4,4,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"30/06/2022"
"Care Home Service","Older People","Local Authority","Menzieshill House","Dundee","DD2 4GD","Dundee City Council","Yes","2002_4","Older people - dementia","Dundee City",27.23,32,"Adults","Mix",4,5,"Same","31/08/2022",4,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"05/08/2022"
"Care Home Service","Older People","Local Authority","Turriff House","Dundee","DD3 8RB","Dundee City Council","Yes","2002_4","Older people - dementia","Dundee City",19.7,32,"Adults","Mix",4,5,"Same","19/10/2022",5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"12/09/2022"
"Care Home Service","Children & Young People","Local Authority","The Junction","Dundee","DD3 6SH","Dundee City Council","Yes","2002_4",NA,"Dundee City",13.85,6,"Children","5 or 6",5,5,"Same","13/02/2023",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"19/01/2023"
"Care Home Service","Children & Young People","Local Authority","Craigie Cottage","Dundee","DD4 7PN","Dundee City Council","Yes","2002_4",NA,"Dundee City",11.76,6,"Children","Mix",4,5,"Same","05/01/2022",4,4,5,4,5,NA,NA,NA,1,NA,NA,NA,"Inspected but no requirements",NA,"Inspected but no requirements","05/10/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Ferry House Residential Home","Dundee","DD5 2BH","Ferry House Residential Home Committee of Management","No","2002_4","Older people - frailty","Dundee City",20,16,"Adults","Mix",4,5,"Same","29/07/2019",5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"04/05/2022"
"Care Home Service","Older People","Private","Forebank","Dundee","DD1 2PB","Forebank Limited t/a Forebank Care Home","No","2002_4","Older people - dementia","Dundee City",NA,56,"Adults","Mix",3,5,"Same","19/07/2023",3,5,4,4,3,NA,NA,1,NA,NA,NA,NA,"Yes","Inspected but no requirements","Yes","02/10/2023"
"Care Home Service","Children & Young People","Local Authority","Gillburn House","Dundee","DD3 0AB","Dundee City Council","Yes","2002_4",NA,"Dundee City",13,4,"Children","Mix",4,4,"Same","20/12/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"01/11/2022"
"Care Home Service","Children & Young People","Local Authority","Millview Cottage","Dundee","DD2 3PT","Dundee City Council","Yes","2002_4",NA,"Dundee City",36.3,6,"Children","Mix",4,4,"Same","19/10/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"05/10/2022"
"Care Home Service","Respite Care and Short Breaks","Local Authority","Mackinnon Centre","Dundee","DD5 2DZ","Dundee City Council","Yes","2002_4","Physical disability or illness","Dundee City",14.89,10,"Adults","Mix",4,6,"Same","23/03/2023",4,4,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"24/02/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","St. Margaret's Home - Dundee","Dundee","DD1 2NB","The Trustees Of St Margaret's Home","No","2002_4","Older people - dementia","Dundee City",30.98,34,"Adults","1 or 2",2,2,"Same","02/08/2023",2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,"Yes","Yes","Yes","11/07/2023"
"Care Home Service","Learning Disabilities","Local Authority","White Top Centre","Dundee","DD1 4JT","Dundee City Council","Yes","2002_4","Learning difficulties","Dundee City",19.3,3,"Adults","5 or 6",5,6,"Same","15/09/2022",6,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"09/08/2022"
"Child Minding",NA,"Private","Ahmed, Runi","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,6,"Children","Mix",4,5,"Same","01/07/2022",NA,NA,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"23/05/2022"
"Child Minding",NA,"Private","Bell, Lorrain","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,5,"Children","Mix",4,5,"Same","30/03/2018",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08/02/2018"
"Child Minding",NA,"Private","Tracey Dewar","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,6,"Children","5 or 6",5,5,"Same","28/08/2019",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22/07/2019"
"Child Minding",NA,"Private","Dewar, Karen","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,5,"Children","5 or 6",5,5,"Same","03/04/2018",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/02/2018"
"Child Minding",NA,"Private","Finlay, Anne","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,6,"Children","Mix",4,5,"Same","04/12/2019",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/11/2019"
"Child Minding",NA,"Private","Gaughan, Sheila","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,6,"Children","5 or 6",5,5,"Same","18/05/2018",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21/03/2018"
"Child Minding",NA,"Private","McIntosh, Heather","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",1,6,"Children","Mix",4,5,"Same","25/05/2023",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","16/05/2023"
"Child Minding",NA,"Private","McKenzie, Rhona","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,5,"Children","Mix",3,4,"Same","15/05/2023",NA,NA,4,3,3,3,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","Inspected but no requirements","25/04/2023"
"Child Minding",NA,"Private","Malone, Linsey","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,5,"Children","Mix",4,4,"Same","13/03/2018",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/01/2018"
"Child Minding",NA,"Private","Thomas, Tracey","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",1,6,"Children","5 or 6",5,5,"Same","10/01/2019",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/12/2018"
"Child Minding",NA,"Private","Ogilvie, Margo","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,6,"Children","Mix",4,5,"Same","13/09/2021",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"05/08/2021"
"Child Minding",NA,"Private","Thomson, Irena","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,8,"Children","Mix",4,6,"Same","19/04/2019",NA,NA,6,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/03/2019"
"Child Minding",NA,"Private","Wilson, Kay","Dundee",NA,NA,"No","2002_4",NA,"Dundee City",NA,6,"Children","5 or 6",5,5,"Same","03/08/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","26/07/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","University of Dundee Nursery","Dundee","DD1 4HN","University of Dundee Nursery","No","2002_4",NA,"Dundee City",20.89,129,"Children","Mix",3,3,"Same","27/04/2023",NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"02/03/2023"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Glebelands Out Of School Care Club","Dundee","DD4 6EZ","Glebelands Out Of School Care Club","No","2002_4",NA,"Dundee City",2.56,48,"Children","Mix",4,5,"Same","22/06/2022",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements",NA,"06/05/2022"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Kids Fun House","Dundee","DD4 0SX","Kids Fun House","No","2002_4",NA,"Dundee City",1.3,65,"Children","Mix",4,5,"Same","31/03/2023",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"06/02/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Kiddycare Day Nursery","Dundee","DD1 2JU","Jennifer Hyslop trading as Kiddycare Nursery","No","2002_4",NA,"Dundee City",10.56,60,"Children","Mix",4,5,"Same","02/04/2020",NA,NA,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/02/2020"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Happy Hours Out Of School Club","Dundee","DD3 9NY","Happy Hours Out Of School Club","No","2002_4",NA,"Dundee City",4.37,50,"Children","Mix",3,4,"Same","05/06/2023",NA,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","02/05/2023"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Lochee Out Of School Club","Dundee","DD2 3AQ","Lochee Out Of School Club (St Clements)","No","2002_4",NA,"Dundee City",2,54,"Children","Mix",2,4,"Same","14/07/2023",NA,NA,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","23/06/2023"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Menzieshill Out of School Care Club","Dundee","DD2 4EH","Menzieshill out of school care club","No","2002_4",NA,"Dundee City",103,60,"Children","Mix",4,5,"Same","01/06/2023",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","22/05/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Nursery Rhymes","Dundee","DD5 2DS","Nursery Rhymes","No","2002_4",NA,"Dundee City",6,36,"Children","Mix",4,5,"Same","04/10/2019",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/08/2019"
"Care Home Service","Children & Young People","Local Authority","Benrig Children's House","Kilmarnock","KA3 7RL","East Ayrshire Council","Yes","2002_4",NA,"East Ayrshire",14.3,8,"Children","Mix",3,3,"Same","11/05/2023",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"17/03/2023"
"Support Service","Other than Care at home","Local Authority","Day Opportunities South","Cumnock","KA18 1EQ","East Ayrshire Council","Yes","2002_4",NA,"East Ayrshire",22.1,55,"Adults","Mix",4,6,"Same","11/01/2018",6,6,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/09/2017"
"Support Service","Other than Care at home","Local Authority","Day Opportunities North","Kilmarnock","KA3 1HL","East Ayrshire Council","Yes","2002_4",NA,"East Ayrshire",28.22,70,"Adults","Mix",3,5,"Same","05/07/2019",3,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/04/2019"
"Support Service","Care at Home","Local Authority","Stewarton Day Care","Kilmarnock","KA3 5AB","East Ayrshire Council","Yes","2002_4",NA,"East Ayrshire",2.8,8,"Adults","5 or 6",5,5,"Same","10/01/2017",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19/06/2013"
"Support Service","Care at Home","Local Authority","Rosebank Resource Centre","Kilmarnock","KA3 7BT","East Ayrshire Council","Yes","2002_4",NA,"East Ayrshire",11.22,40,"Adults","5 or 6",5,5,"Same","20/03/2013",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/02/2016"
"Support Service","Care at Home","Local Authority","Auchinleck Community and Resource Centre","Cumnock","KA18 2LA","East Ayrshire Council","Yes","2002_4",NA,"East Ayrshire",16.55,85,"Adults","5 or 6",5,5,"Same","23/07/2018",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15/05/2018"
"Care Home Service","Older People","Private","Graceland","Kilmarnock","KA3 1PX","Graceland Nursing Home Ltd","No","2002_8","Older people - frailty","East Ayrshire",81.71,70,"Adults","Mix",4,5,"Same","17/08/2022",5,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","05/10/2023"
"Care Home Service","Learning Disabilities","Private","The Elms - Crosshouse","Kilmarnock","KA2 0BH","Thorntoun Limited","No","2002_4","Learning difficulties","East Ayrshire",13.18,6,"Adults","Mix",4,5,"Same","01/02/2023",5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"24/01/2023"
"Care Home Service","Older People","Private","Thorntoun Estate Nursing Home","Kilmarnock","KA2 0BH","Thorntoun Limited","No","2002_4","Older people - dementia","East Ayrshire",72.94,78,"Adults","Mix",4,4,"Same","28/07/2023",4,4,4,4,4,NA,NA,2,NA,NA,NA,NA,"Yes","Inspected but no requirements","Inspected but no requirements","05/07/2023"
"Care Home Service","Learning Disabilities","Private","Newhouse","Kilmarnock","KA1 5JB","Parkcare Homes No.2 Ltd","No","2002_4","Learning difficulties","East Ayrshire",27.4,22,"Adults","Mix",4,5,"Same","16/09/2022",4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/08/2022"
"Care Home Service","Learning Disabilities","Private","Kirklea","Kilmarnock","KA1 1EQ","Parkcare Homes No.2 Ltd","No","2002_4","Learning difficulties","East Ayrshire",14.85,12,"Adults","Mix",4,6,"Same","26/07/2022",5,4,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"02/06/2022"
"Care Home Service","Children & Young People","Voluntary or Not for Profit","Action for Children - Lisalanna","Cumnock","KA18 1AB","Action for Children","No","2002_4",NA,"East Ayrshire",17.55,5,"Children","Mix",4,4,"Same","22/09/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"27/07/2022"
"Care Home Service","Older People","Private","Abbotsford House","Glasgow","G61 2RL","Morrison Community Care Limited","No","2002_4","Older people - frailty","East Dunbartonshire",NA,34,"Adults","Mix",4,4,"Same","26/03/2021",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22/03/2021"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Ashfield House","Glasgow","G66 1AQ","The Richmond Fellowship Scotland","No","2002_4","Mental health problems (other than dementia)","East Dunbartonshire",7,5,"Adults","Mix",4,5,"Same","21/02/2023",5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"27/01/2023"
"Support Service","Other than Care at home","Private","Birdston Day Care Centre","Glasgow","G66 8BY","Pacific Care Limited","No","2002_4",NA,"East Dunbartonshire",13.5,40,"Adults","5 or 6",5,6,"Same","14/08/2018",6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/06/2018"
"Care Home Service","Learning Disabilities","Local Authority","John Street House","Glasgow","G66 2HE","East Dunbartonshire Council","Yes","2002_4","Learning difficulties","East Dunbartonshire",17,11,"Adults","Mix",4,5,"Same","15/09/2022",5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"22/07/2022"
"Support Service","Other than Care at home","Voluntary or Not for Profit","Age Concern Eastwood Dementia Project","Glasgow","G46 7JS","Age Concern Eastwood Dementia Project","No","2002_4",NA,"East Renfrewshire",9.81,26,"Adults","5 or 6",6,6,"Same","07/07/2016",6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25/06/2013"
"Support Service","Other than Care at home","Local Authority","Kirkton Service","Glasgow","G78 1SW","East Renfrewshire Council","Yes","2002_4",NA,"East Renfrewshire",2.5,16,"Adults","Mix",4,5,"Same","15/08/2019",5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/07/2019"
"Support Service","Other than Care at home","Local Authority","Thornliebank Resource Centre","Glasgow","G46 7BA","East Renfrewshire Council","Yes","2002_4",NA,"East Renfrewshire",15.18,51,"Adults","Mix",4,6,"Same","18/05/2016",4,4,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/05/2013"
"Care Home Service","Older People","Private","Westlea Care Home","Glasgow","G78 3PT","Third Life Care Limited","No","2002_4","Older people - frailty","East Renfrewshire",42.9,55,"Adults","Mix",4,5,"Same","27/03/2023",5,4,5,4,4,NA,NA,1,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"23/03/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Williamwood","Glasgow","G44 3YA","Church of Scotland Trading as Crossreach","No","2002_4","Older people - dementia","East Renfrewshire",23,34,"Adults","Mix",4,5,"Same","28/06/2023",4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Inspected but no requirements","09/06/2023"
